"Topic Title","Topic Description","Topic Number",Phase,Program,Agency,Branch,"Close Date","Release Date","Open Date","Solicitation Agency URL","Solicitation Status","Solicitation Year",SBIRTopicLink
"Complementaru Flush Air Data System for Subsonic/Transonic Bomber Operations and Weapon Platforms","Targeting Technology Readiness Levels (TRL) 6–7, the effort will integrate the complementary FADS within an Agile Pod or fuselage-mounted configuration, enabling non-intrusive flight validation without modification of existing primary systems. The goal is to demonstrate reliable interoperability and data fusion between FADS and the aircraft’s existing air data computers, ensuring cross-verified, all-weather flight parameters for improved survivability, redundancy, and operational assurance. Key objectives include: Developing a robust and adaptable flush-mounted pressure sensing system optimized for AFGSC platforms, with scalable designs applicable across the AFGSC portfolio, as well as to other Air Force and Department of War (DoW) aircraft, UAVs, and missile systems, enabling smoother technology transition and broader fleet impact. Ensuring accurate and resilient air data measurement throughout dynamic flight conditions, addressing challenges such as icing, electromagnetic interference, and sensor degradation. Conducting comprehensive ground tests followed by flight validation to demonstrate system reliability, accuracy, and seamless integration with existing aircraft systems. The desired outcome is a flight-validated complementary FADS that enhances aircraft survivability, minimizes maintenance burdens, and increases data assurance under contested conditions. This effort directly aligns with AFGSC modernization priorities and DoW objectives in maneuver, sensing, and technology protection, ensuring an immediate operational benefit while enabling a smoother, lower-risk technology transition across the AFGSC portfolio. Over time, data and performance collected through this complementary system will inform future modernization pathways, enabling potential transition to a primary flush air data architecture once validated and qualified for operational use. AFGSC’s B-52 and B-1 bombers currently rely on traditional pitot/static probe systems to measure airspeed, altitude, and trajectory—critical parameters for ensuring flight safety and executing missions effectively. These legacy systems, while proven, are single points of failure and introduce operational limitations in contested and low-observable environments. Protruding pitot probes increase drag and radar cross-section, elevating detectability and reducing effectiveness and survivability. They are also susceptible to icing, contamination, and physical damage, which can drive up maintenance costs and reduce mission flexibility. Although concerns over legacy air data systems persist, the fundamental pitot-static sensing principle, introduced in the early 20th century, remains the Department of the Air Force’s current state-of-the-art and primary method for air data measurement on bomber and mobility aircraft—despite incremental advances in digital air data computers. While Flush Air Data System (FADS) concepts have existed since the 1970s, no system has yet matured into an operationally qualified, modular, and low-observable solution for subsonic and transonic military platforms. Existing low-observable air data treatments and experimental flush systems have been demonstrated in limited tests or stealth programs; however, these remain platform-specific, non-modular, and not qualified for sustained operational use. Currently, no DoW air data solution combines low-observable design, modular integration, and jam-resistant redundancy for subsonic and transonic bomber operations. This effort moves beyond the current state-of-the-art by introducing a complementary, fleet-ready FADS architecture optimized for contested, all-weather environments. A Complementary FADS augments traditional pitot/static architectures rather than replacing them. It embeds precision surface pressure sensors flush with the aircraft skin or within modular pods to provide a secondary, independent data stream that validates and reinforces the primary system. This approach ensures data continuity under jamming, icing, or probe damage conditions, while not impacting aerodynamic drag and radar cross-section. Unlike prior NASA/AFRL FADS demonstrations focused on hypersonic vehicles, this effort will deliver a mission-qualified, low-observable, and cyber-secure complementary system tailored to the subsonic and transonic flight regimes of AFGSC bombers and weapon platforms. The subsonic and transonic regimes for these heavier aircraft pose unique challenges such as flow separation, shockwaves, complex pressure gradients, and unsteady aerodynamic phenomena that complicate the accurate extraction and processing of air data from flush sensors. These conditions require specialized calibration, signal processing algorithms, and system designs not yet mature for operational use. This complementary design preserves existing flight-control architectures while introducing an operationally resilient, scalable capability that strengthens flight-data assurance and paves the way for future full-system modernization under separate initiatives. While starting with AFGSC bomber operations, the design is intentionally modular and mission-agnostic so validated sensors and algorithms can transition to all AFGSC platforms, weapon platforms, UAS, missiles, and other systems. This dual-use potential enhances transition pathways and aligns with broader DoW modernization priorities in hypersonic, test instrumentation, and distributed sensing (supports new DoW CTAs - AAI, Q-BID, and SHY). The proposed effort seeks to mature and demonstrate a modular, flush-mounted air data sensing system optimized for the unique operational and geometrical complexities of AFGSC bomber airframes, and to provide opportunities to modernize, digitize, and standardize these capabilities across the bomber fleet and other AFGSC aircraft and weapon platforms. The flush system will ensure: Robust, adaptable pressure port placement tailored to complex airframes or weapon platforms. Accurate and resilient air data measurement throughout subsonic and transonic maneuvers (including climbs, descents, and rapid flight profile transitions), while compensating for flow disturbances. Effective operation in icing conditions and GPS-denied or contested electromagnetic environments. Reduced logistics and sustainment burdens when compared to pitot probe maintenance and susceptibility to fouling or physical damage (indirectly supports new DoW CTA LOG) The effort will begin at TRL 3-4 (TRL 4 preferred; TRL 3 may require strong prior work) and progress through iterative design, ground, and flight testing to achieve TRL 6–7. The Phase II path will use Agile Pod or non-intrusive fuselage deployment for flight validation to minimize aircraft modification risk. Deliverables include a validated flight test report, verified performance metrics, and a modular, cyber-hardened system architecture compatible with Open Mission Systems (OMS), model-based flight controls, and digital engineering environments. Effort phases shall include: Phase I: N/A (prior feasibility work performed)Phase II:Fabrication of flight-ready sensor modules, integration with aircraft interfaces, ground testing including environmental and EMI/EMC assessments, and in-flight testing for performance validation, accuracy, and reliability. Phase III (Transition):Seamless technology handoff to Air Force program offices for fleet upgrade initiatives and technology insertion, with detailed documentation, manufacturing process development, and sustainment planning. Minimum acceptable deliverables include a fully documented flight test report demonstrating TRL 6-7 readiness, verified sensor performance metrics across target flight regimes, cyber-hardened system architecture compliant with Air Force digital standards, and a scalable modular design enabling rapid adaptation to multiple platform types. This capability directly supports AFGSC’s weapon system readiness (AFGSC/CC's #1 priority), bomber program priorities (AFGSC A5/8), bomber modernization programs (AFLCMC), and mission assurance by improving flight data integrity for nuclear deterrence and conventional strike operations in contested airspace. Beyond bombers, the technology offers transition potential across the Air Force portfolios—including weapon platforms, UAVs, hypersonic test assets, and missile platforms—advancing DoW objectives in Technology Maneuver, Manufacturing, and Protect & Defend. Over time, data and performance collected through this complementary system will inform future modernization pathways, enabling a potential transition to a primary flush air data architecture once validated, further strengthening the resilience and technological readiness of AFGSC’s bomber fleet and weapon platforms. By mitigating vulnerabilities pitot/static systems with a stealth-compatible, all-weather, jam-resistant alternative, this effort enhances platform survivability, reduces lifecycle cost, and ensures enduring global strike readiness.",DAF26BZ03-DV023,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12770
"Manufacturing Technologies for Ryberg-based Atomic Sensors (MANTRAS)-SBIR XL","Rydberg-based RF receivers are a class of emerging quantum technologies that are potentially capable of reception over an immensely broad carrier band (from HF/UHF to the millimeter-wave regime), high sensitivity, and passive operability within a single compact package.[1] Each of these attributes can, in turn, lend themselves to disruptive applications beyond the capabilities of conventional electro-optic, antenna-based, or plasmonic receivers. While the potential capabilities of Rydberg-based receivers have been validated to an extent within laboratory-scale proof-of-concept demonstrations, there are several technical challenges that need to be addressed en route to a viable DoW-relevant technology. Each of the particular attributes of Rydberg-based sensors that allow for beyond-SoA performance, i.e. all-optical tunability across orders of magnitude in reception frequency, quantum-limited sensitivity, coherent detection within compact vapor cells etc, also require the development of low-SWaP photonic and optolectronic systems for quantum state preparation and measurement; integrated optical frequency combs for wide tunability; and low-latency systems for control, measurement, and spectral analysis. At present, such quantum-enabling technologies have yet to demonstrate the stringent performance requirements needed to supplant larger, laboratory-scale infrastructure. This void has stymied the transition of such quantum devices to widely deployable, low-SWaP technologies as well as the future scalability of such systems to address a growing landscape of applications in atom-based sensing and PNT. In this context, ongoing programs at DARPA[2] are developing integrated photonic architectures ranging from on-chip narrow-linewidth laser sources and amplifiers at wavelengths of relevance to workhorse atomic species; microcomb-driven photonic integrated circuits for the stabilization and distribution of light; low-loss optical modulators and filters that could be harnessed for quantum state preparation, control and interrogation of atoms; and high-speed optical routing and processing architectures. Although the current performance of these enabling technologies is still some distance away from matching the performance of state-of-the-art laboratory-scale components, it is anticipated that continued progress in chip-scale photonics will lead to the maturation of these enabling technologies at a level that can match, and eventually surpass the performance of large-scale laboratory setups. It is also anticipated that the development of such chip-scale or integrated sub-systems can lead to advances and novel capabilities in deployable Rydberg-based quantum technologies that are not currently accessible with conventional antenna-based, electro-optic, or plasmonic techniques. The unique attributes of Rydberg-based RF receivers also pose challenges to the design and performance of control and signal processing architectures that are required to operationalize these systems. To achieve requisite levels of low-latency control, wideband signal processing, and autonomy of Rydberg-based devices, the aforementioned efforts on photonics will need to be complemented by innovative designs of low-latency system-on-chip (SoC) control and signal processing systems.[3]  Further, in anticipation of the large landscape of applications for such receivers, it is preferable that such control and signal processing systems are co-designed in an application-oriented fashion, and compatible with an open-system architecture that enables seamless inter-operability of multiple application-specific control and signal processing architectures with the same photonic and optoelectronic system. This solicitation seeks to co-integrate Rydberg photonic systems with flexible low-latency control architectures for real-time measurement and processing of wideband RF signals for a low-SWaP and manufacturable platform for Rydberg atomic receivers.",DPA26BZ03-DV011,BOTH,SBIR,DOD,DARPA,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12772
"Open Architecture OEM Real-time Ultrafine Particulate Sensor","This SBIR topic aligns with the DHA Environmental Exposures Toxic Injury Prevention Roadmap, specifically focusing on enhanced tools and assessment methodology for acute and chronic exposure to military-relevant chemicals, materials, and hazards.  Ultrafine particulates pose a significant health risk due to their ability to penetrate deep into the lungs, enter the bloodstream, and translocate to the brain. Exposure has been correlated with exacerbating asthma, cardiopulmonary disease and systemic effects (1). However, current mass-based exposure assessment standards are inadequate for characterizing the risks associated with these low-mass, high-surface-area particles and mixtures. The DoW currently lacks a detection capability to comprehensively characterize a service member’s exposure to ultrafine particulates, which results in the inability to evaluate potential correlation with health outcomes. Ultrafine particulates of interest for occupational monitoring include those generated from high intensity processes such as weapons firing, engine emissions and fires (2-3). Submicron particulate exposure in occupational environments with these emission sources is highly variable and depends on proximity to the source and airflow conditions, which necessitates personal breathing zone monitoring (i.e. affordable sensors). The peak size of particulates generated from these processes are less than 0.1 microns (100 nanometers). Most commercially available Original Equipment Manufacturer (OEM) particulate matter sensors use an optical measurement approach, which limits the lower size that can be detected to about 0.3 microns. Currently available direct reading instruments for measuring particulates less than 0.3 microns in real-time include condensation particle counters and electrometers, which are expensive (>$10K). Most are not available as an OEM version to be integrated with other sensors. Those that are available suffer from a relatively low upper concentration limit (10^5 particles per cubic centimeter) so cannot be used in the field for emission exposure measurements, where concentrations are often closer to 10^6 particles per cubic centimeter or higher (4).  Developing a comprehensive detection capability for ultrafine particulates is a critical investment in the long-term readiness and well-being of the force. Standard monitoring equipment often fails to detect submicron particles, which pose a medical threat due to their ability to penetrate the respiratory and cardiovascular systems.  Service members operating in environments such as burn pits, flightlines/flight decks, or industrial maintenance facilities may be exposed to hazardous concentrations without warning, leading to systemic inflammation, cardiovascular stress, and respiratory toxicity. Proactive, quantitative surveillance provides data to allow commanders to make informed decisions to protect the force, enables preventative medicine personnel to mitigate hazards, and creates a permanent exposure data health record essential for future service member and veteran health care.  The novel materiel solution desired is a low size, weight, power and cost OEM ultrafine particulate sensor with real-time detection down to 0.01 microns (10 nanometers) or less at concentrations up to 10^6 particles per cubic centimeter. Individual sensors must be <$1K and have an open architecture that will allow for end user integration with other sensors or devices. The sensor must be ruggedized to meet requirements in MIL-STD-810H (5). In addition to the sensor, a solution to test calibration status in the field must also be developed. The development of the sensor and bump test solution must be coupled with a demonstration of efficacy to meet the stated requirements as well as repeatability in manufacturing consistency and performance across multiple sensors. Reliance on consumable materials such as working fluids should be minimized.",DHA26BZ03-NV007,BOTH,SBIR,DOD,DHA,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12777
"Leveraging AI/ML for Optimizing JAG Data, Decision Making, and Military Justice Outcomes","This effort includes: ● Optimizing JAG Data Management: Employing AI/ML for automated document classification, metadata extraction, and intelligent eDiscovery to streamline evidence review processes. ● Enhancing Decision-Making: Utilizing predictive analytics for case forecasting, resource allocation, and bias detection to ensure equitable and efficient legal rulings. ● Improving Military Justice Outcomes: Implementing generative AI for rapid advisory responses, anomaly detection in compliance pipelines, and reinforcement learning for workflow improvements. The aim is to develop capabilities that bolster data integrity, mitigate risks in critical areas such as military justice proceedings, and support the AFDW JA's mission to provide timely, accurate legal counsel. These efforts will align with Department of War  ethical AI principles, ensuring secure data handling on IL5-compliant platforms, and adhere to the guidelines set forth in Air Force Doctrine Note 25-1 for responsible AI integration. The legal and judicial data management processes within the Air Force District of Washington Judge Advocate (AFDW JA) are currently labor-intensive and prone to delays due to the reliance on manual reviews and updates. These challenges hinder the timely delivery of accurate and independent counsel required for contingency responses, ceremonial honors, and global operational support. This Phase I Small Business Innovation Research (SBIR) topic aims to address these issues by introducing innovative AI/ML solutions that automate and expedite AFDW JA's workflows, thereby enhancing mission effectiveness and efficiency. Key areas of focus include: ● Military Justice under the UCMJ: Automating the intake and processing of judicial and legal case data through advanced AI techniques such as natural language processing for automatic document classification, metadata extraction, and anomaly detection. ● Contracting Oversight: Leveraging predictive modeling techniques to improve data quality, accuracy, and mitigate bias in decision-making processes. ● Interagency Civil Support: Utilizing generative AI for rapid query responses and reinforcement learning to optimize workflow efficiencies, along with advanced data visualization tools to provide actionable insights and facilitate stakeholder briefings. The desired outcome of this project is to transform the unstructured data overload into actionable intelligence, thereby reducing processing delays by 50-70% and significantly enhancing overall legal advisory excellence. The proposed AI/ML solutions must comply with Air Force standards and Department of War ethical AI principles, ensuring secure and explainable outputs that are compatible with existing Air Force data platforms. This will support seamless integration and scalability across the National Capital Region and worldwide missions. The initial Technology Readiness Level (TRL) at the project start is TRL 3, with the aim to achieve TRL 6 by the end of Phase II. The efforts required to achieve these objectives include: ● Phase I: Conducting feasibility studies, developing preliminary AI/ML models, and validating the core functionalities through prototype testing. Minimum deliverables include a detailed feasibility report, initial prototype/wireframe demonstration, and a comprehensive plan for Phase II development. ● Phase II: Refining and expanding the AI/ML models based on Phase I results, conducting extensive testing in operational environments, and finalizing the integration with existing AFDW JA systems. Minimum deliverables include a fully functional AI/ML solution, detailed testing and evaluation reports, and documentation for system integration and user training. By implementing these advanced AI/ML solutions, the AFDW JA will enhance its capability to provide timely and accurate legal counsel, aligning with the strategic objectives of the Air Force District of Washington and ensuring operational readiness and effectiveness. ",DAF26BZ03-NV018,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12765
"Nickel Molybdenum Hard Chrome Alternative","The ""Nickel Molybdenum Hard Chrome Alternative"" topic under AFWERX aims to advance an innovative solution for replacing hexavalent chromium use in aerospace applications, such as landing gear actuators. Hexavalent chromium is known for its adverse health and environmental impacts, and the Department of War (DoW) faces regulatory mandates to eliminate its usage. The U.S. Army is tasked with phasing out hexavalent chromium by 2030, and similar efforts are underway in Navy facilities with a target elimination date of 2039. The focus of this project is to develop and validate the Maxterial H-max nickel molybdenum plating chemistry as an alternative to traditional hard chrome plating. Initial Technology Readiness Level (TRL) at the project start is estimated to be TRL 4, indicative of technology validated in a lab environment. The anticipated target TRL at the completion of Phase II is TRL 7-8, demonstrating system prototype demonstration in an operational environment. Desired outcomes include the identification, development, and validation of a robust alternative plating process that meets performance criteria for fatigue resistance, durability, and corrosion resistance in aerospace components. Additionally, the solution should support DoW modernization priorities in advanced materials and manufacturing while complying with environmental regulations and enhancing operational readiness. The required efforts will be divided into specific phases: Phase I: This phase will conduct full-scale fatigue testing, performance evaluation, and validate the plating process under simulated operational conditions. Deliverables will include comprehensive performance reports, validation of scalability (installing a dem/val tank), and a transition plan detailing how the process will be integrated into existing manufacturing protocols. DAF - 18 The minimum deliverables for the project will include: Validated Maxterial  H-max formulation Fatigue and performance test data Operational readiness assessment Compliance analysis with existing DoW policies Transition plan By end of topic D2P2 completion, the anticipated benefits are to provide the DoW with a viable, environmentally safe alternative to hard chrome plating used in the aerospace industry, significantly reducing health hazards, and ensuring compliance with future regulations while enhancing durability and performance of critical aerospace components. ",DAF26BZ03-DV021,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12768
"Development of Directed Energy Systems for Space-Based Applications","This project is a strategic partnership between AFRL and SSC to develop space-based directed energy systems. Directed energy systems pose many promising dual-use applications including but not limited to space-based defensive capabilities such as non-kinetic missile defense, space-based power beaming, lunar prospecting, target identification, or debris remediation. For certain applications such as remote power transfer, high energy laser systems can bridge a critical capability gap involving the ""power-mass"" penalty of traditional orbital platforms, where rigid solar arrays and battery density limit mission longevity and payload capacity. Addressing this now is essential due to the rapid proliferation of distributed constellations that require agile, modular energy solutions to maintain a responsive space architecture. Failure to solve these constraints will lead to the continued deployment of static, short-lived systems unable to adapt to evolving orbital mission requirements or emerging commercial energy demands. Other directed energy capabilities such as particle beam technology offers unique advantages such as active orbital probe inspection or deep space prospecting. The desired end state is a compact, space-qualified directed energy architecture that increases the current state of the art in power output, beam quality and control providing reliable power-transfer capabilities while meeting strict low-SWaP (size, weight, and power) configurations.  Achieving this will enable a more resilient space architecture that integrates novel thermal protection, advanced control algorithms for increased pointing accuracy, and radiation resiliency to survive extreme orbital conditions. These improvements should result in a measurable increase in mission capability with the program ultimately targeting the transition of these technologies toward TRL 6 prototypes in preparation for an on-orbit flight demonstration.",DAF26BX03-DV505,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12785
"Intra-Satellite Communications","The current model for commercial satellite communication involves each satellite independently communicating directly with ground stations or geostationary relay satellites. This architecture presents a significant challenge for tracking mobile targets, especially across wide areas. Because satellites do not communicate directly with each other, a target moving out of the field of view (FOV) of one satellite requires a time-consuming handoff process involving ground stations. This process introduces latency and inefficiencies, especially when trying to coordinate tracking across multiple satellites, whether from the same constellation or different vendors.  The use of existing commercial satellite infrastructure could provide the capability to mitigate these latencies and inefficiencies without the substantial cost of developing and deploying a dedicated military satellite network.  The Navy seeks a hardware solution to be installed on Government satellites that enables inter-satellite communication (ISC) within commercial satellite constellations. No existing commercial capability can accomplish this requirement. This proposed capability will allow satellites to directly share tracking data and other information and significantly improve the tracking of open ocean targets.  The solution must meet the following parameters: 1. Use Seamless Target Handoff to enable real-time communication between satellites, allowing for seamless tracking of objects as they move across the coverage areas of different satellites, eliminating the need for ground station intervention. 2. Use enhanced Tracking Accuracy and Persistence to direct communication between satellites. 3. Enable faster and more accurate correlation of target data from multiple viewpoints compared to the current time it takes to establish these same parameters. 4.Improve tracking accuracy, particularly for maneuvering targets. 5. Ensure persistent tracking even in challenging environments. 6. Establish an inter-satellite linked network that creates a dynamic and responsive network that adapts to changing operational needs. 7. Enable satellites to quickly share information about new targets or changes in target behavior, enhancing overall situational awareness. 8. Allow direct communication between satellites to reduce the time currently required to transmit critical tracking data to decision-makers. 9. Measure the data transfer latency between satellites under various network load and orbital configurations, as compared to latency experienced with traditional ground-relay communication systems. 10. Evaluate the data throughput capacity of the inter-satellite links and provide a determination of the maximum data rate that can be reliably sustained between satellites. 11. Assess the stability and reliability of the inter-satellite links under operational conditions for distances between satellites and atmospheric interference. 12. Test the effectiveness of routing data efficiently between satellites and route the data according to the most efficient routing protocol to achieve the most efficient routing between satellites, thus managing network congestion. 13. Improve target tracking accuracy achieved by using ISC compared to the accuracy using traditional methods with improved accuracy over the traditional methods. (Note: A baseline of traditional methods will be established to measure against an improvement provided by the solution, which must include the ability to measure the latency and message fidelity efficiency and seamlessness of target handoff between satellites including any associated loss of tracking data.) 14. Provide for assessing the coverage area of interest (AOI) footprint within the satellite pass and provide a determination of the ability of the network to maintain continuous tracking of targets moving across large areas. 15. Capable of simultaneously tracking multiple targets in accordance with the Commander’s intent, including targets with varying speeds and trajectories.  Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NAVSEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV060,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12756
"Terminal Defense Weapon System Coordinator","PEO IWS 11 is responsible for providing terminal defense weapon systems for ship self-defense against Anti-Ship Missile (ASM), Helicopter, Aircraft, Unmanned Aerial Systems (UAS), and Surface Threats. The program’s portfolio includes Rolling Airframe Missile (RAM), Close-in Weapon System (CIWS), Counter-Unmanned Aircraft Systems (CUAS), Directed Energy, and Guns.  Ship combat systems direct and manage terminal defense weapon system engagements so terminal defense weapon system upgrades require an update to the ship combat system. In addition, ship combat system weapon direction and management require complex algorithms in the ship combat system plus a detailed understanding of weapon systems’ performance.  Ship combat system weapon system updates are part of the combat system’s major releases. This takes years of development, followed by years of fielding.   The Navy seeks a capability that decouples weapon system upgrades from ship combat system updates and allows terminal defense systems to develop and field updates within two months. Currently no existing commercial technology can meet this need. The solution will move the ship combat system terminal defense weapon system responsibilities for managing upgrades and weapon system coordinating engagements from the combat system to the weapon system coordinator in real-time without latency.     Development of the weapon system coordinator solution must use model-based system engineering (MBSE) for documenting requirements, developing the architecture, and testing the behavior. The coordinator shall use Artificial Intelligence (AI) for engagement coordination by implementing AI heuristics and machine learning. The MBSE model shall include a code generator that will translate the model to an executable program that can be run on a RED HAT LINUX platform. The coordinator will include a combat system interface for managing combat system commands as well as cyber secure interfaces to each terminal defense weapon system.      Work produced in Phase II may become classified. Note: The prospective contractor(s) must be U.S. owned and operated with no foreign influence as defined by 32 U.S.C. § 2004.20 et seq., National Industrial Security Program Executive Agent and Operating Manual, unless acceptable mitigating procedures can and have been implemented and approved by the Defense Counterintelligence and Security Agency (DCSA) formerly Defense Security Service (DSS). The selected contractor must be able to acquire and maintain a secret level facility and Personnel Security Clearances. This will allow contractor personnel to perform on advanced phases of this project as set forth by DCSA and NASEA in order to gain access to classified information pertaining to the national defense of the United States and its allies; this will be an inherent requirement. The selected company will be required to safeguard classified material during the advanced phases of this contract IAW the National Industrial Security Program Operating Manual (NISPOM), which can be found at Title 32, Part 2004.20 of the Code of Federal Regulations.",DON26BZ03-NV064,BOTH,SBIR,DOD,NAVY,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12760
"Quantum Solutions for Proactive Advanced Response in Cyber Warfare - QSPARX","The Air Force District of Washington (AFDW) and the 844th Communications Group (CG) at Joint Base Andrews face significant cyber threats from adversaries leveraging quantum computing capabilities. Current cryptographic measures are inadequate against quantum decryption techniques, which could compromise classified and sensitive data, crucial systems, and overall mission assurance. To address these vulnerabilities, this project proposes developing an AI-driven cybersecurity platform designed to transition existing cryptographic assets to post-quantum cryptographic (PQC) standards. This solution will enhance threat detection, cryptographic resilience, and mission assurance across high-value AFDW networks and communications. The desired outcome of this project is to create a robust cyber defense system that integrates advanced machine learning algorithms for automated threat detection, risk scoring, and compliance monitoring. This platform will ensure seamless PQC integration while minimizing disruptions to the legacy infrastructure, ultimately safeguarding critical Air Force data and assets. The project will commence at a Technology Readiness Level (TRL) of 3, focusing on analytical and experimental proof-of-concept, and aims to reach a TRL of 6 by the end of Phase II, demonstrating a system/subsystem prototype in a relevant environment. The project will involve the following efforts and activities across its phases: ● Phase I: Conduct a comprehensive cryptographic asset inventory within the AFDW, identifying key management practices, storage locations, and interoperability with legacy systems. ● Develop a clear mapping of existing cryptographic foundations to pinpoint areas needing quantum-resilient upgrades. ● Establish success metrics, including detection accuracy and response times, for the AI/ML components of the solution. ● Deliverable: A prototype demonstrating automated threat detection, risk scoring, and compliance monitoring, validated in simulated Air Force environments. ● Enhance the prototype based on Phase I feedback, scaling the solution for broader network integration and real-world application within the AFDW and beyond.  ● Conduct extensive testing and validation of PQC algorithms in forensic cryptographic workflows, ensuring robust performance under diverse threat scenarios. ● Deploy the fully developed platform in live Air Force environments, providing continuous monitoring and automated response capabilities. ● Deliverable: A fully functional AI-driven cybersecurity platform with demonstrated effectiveness in operational Air Force settings, maintaining compliance with PQC standards and legacy system integration. By leveraging a Quantum Value Pipeline framework, this project will significantly elevate the cybersecurity posture of the AFDW, addressing urgent post-quantum threats while maintaining mission-critical operations. The anticipated advancements in AI and machine learning will foster innovation and align with DoW cybersecurity policies, ensuring long-term resilience and superiority in the quantum era. ",DAF26BZ03-NV017,BOTH,SBIR,DOD,USAF,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12764
"Engineering Sleep for Cognitive Performance","The ability to sustain cognitive performance and accelerate physiological recovery is critical in demanding operational environments. Severe sleep restriction is known to degrade essential functions by disrupting the brain's natural restorative processes [1], including glymphatic waste clearance [2,3] and synaptic plasticity, which are tightly coupled to specific neurophysiological events during sleep [4].",DPA26BZ03-DV012,BOTH,SBIR,DOD,DARPA,"July 22, 2026","June 3, 2026","June 24, 2026",https://www.dodsbirsttr.mil/topics-app/,Open,2026,https://www.sbir.gov/topics/12773
